"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVN","Slovenia","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,5.8,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,7,,
"AUS","Australia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,5.9,,
"AUT","Austria","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.2,,
"BEL","Belgium","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.7,,
"CAN","Canada","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,6.7,,
"CZE","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,2.8,,
"DNK","Denmark","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.3,,
"FIN","Finland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"FRA","France","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,8.1,,
"DEU","Germany","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"GRC","Greece","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,23.7,,
"HUN","Hungary","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.7,,
"ISL","Iceland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,0.7,,
"IRL","Ireland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,10.5,,
"ITA","Italy","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,12.1,,
"JPN","Japan","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,2.4,,
"KOR","Korea","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,3.1,,
"LUX","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,1.4,,
"MEX","Mexico","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,5.5,,
"NLD","Netherlands","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"POL","Poland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,6,,
"PRT","Portugal","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,10.2,,
"SVK","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,8.4,,
"ESP","Spain","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,21.1,,
"SWE","Sweden","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,3.9,,
"TUR","Turkey","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,10.2,,
"GBR","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"USA","United States","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,7.8,,
"CHL","Chile","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,7,,
"EST","Estonia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.1,,
"LVA","Latvia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,11.1,,
"SVN","Slovenia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,5,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,7.2,,
"AUS","Australia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5,,
"AUT","Austria","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.7,,
"BEL","Belgium","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.7,,
"CAN","Canada","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.4,,
"CZE","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,3.5,,
"DNK","Denmark","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.1,,
"FIN","Finland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.9,,
"FRA","France","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,7,,
"DEU","Germany","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.2,,
"GRC","Greece","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,36,,
"HUN","Hungary","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.6,,
"ISL","Iceland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.7,,
"IRL","Ireland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.2,,
"ITA","Italy","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,12.5,,
"JPN","Japan","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.3,,
"KOR","Korea","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.1,,
"LUX","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.9,,
"MEX","Mexico","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.5,,
"NLD","Netherlands","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.7,,
"POL","Poland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.3,,
"PRT","Portugal","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,9.7,,
"SVK","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,11.4,,
"ESP","Spain","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,25,,
"SWE","Sweden","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.4,,
"TUR","Turkey","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,14.9,,
"GBR","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.2,,
"USA","United States","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,7.6,,
"CHL","Chile","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,10.3,,
"EST","Estonia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,3.6,,
"LVA","Latvia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,8,,
"SVN","Slovenia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,6.5,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,7.2,,
"AUS","Australia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.29,,
"AUT","Austria","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.67,,
"BEL","Belgium","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.19,,
"CAN","Canada","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.17,,
"CZE","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.65,,
"FIN","Finland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.41,,
"FRA","France","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.11,,
"DEU","Germany","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.41,,
"GRC","Greece","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,23.78,,
"HUN","Hungary","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,1.62,,
"ISL","Iceland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,0.59,,
"IRL","Ireland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.1,,
"ITA","Italy","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,6.98,,
"JPN","Japan","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.65,,
"KOR","Korea","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.6,,
"LUX","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.02,,
"MEX","Mexico","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,6.26,,
"NLD","Netherlands","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.07,,
"POL","Poland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.92,,
"PRT","Portugal","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,7.46,,
"SVK","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,5.02,,
"ESP","Spain","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,13.05,,
"SWE","Sweden","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.15,,
"TUR","Turkey","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,11.48,,
"GBR","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.1,,
"USA","United States","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.35,,
"CHL","Chile","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,6.64,,
"EST","Estonia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.43,,
"LVA","Latvia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.59,,
"SVN","Slovenia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.84,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,5,,
"AUS","Australia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,11.02,,
"AUT","Austria","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.31,,
"BEL","Belgium","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,6.97,,
"CAN","Canada","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,12.97,,
"CZE","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,25.14,,
"DNK","Denmark","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,6.78,,
"FIN","Finland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.43,,
"FRA","France","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,15.09,,
"DEU","Germany","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.43,,
"GRC","Greece","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,32.72,,
"HUN","Hungary","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.66,,
"ISL","Iceland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,0.62,,
"IRL","Ireland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,16.32,,
"ITA","Italy","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,16.78,,
"JPN","Japan","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,4.35,,
"KOR","Korea","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,1.11,,
"LUX","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,1.59,,
"MEX","Mexico","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,4.22,,
"NLD","Netherlands","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.18,,
"POL","Poland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,15,,
"PRT","Portugal","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.76,,
"SVK","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,72.16,,
"ESP","Spain","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,36.71,,
"SWE","Sweden","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,9.51,,
"TUR","Turkey","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,11.22,,
"GBR","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.02,,
"USA","United States","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,17.91,,
"CHL","Chile","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,8.2,,
"EST","Estonia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,8.03,,
"LVA","Latvia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,23.29,,
"SVN","Slovenia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.55,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,12.35,,
"AUS","Australia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.7,,
"AUT","Austria","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"BEL","Belgium","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"CAN","Canada","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"CZE","Czech Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,,
"DNK","Denmark","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"FIN","Finland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"FRA","France","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"DEU","Germany","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"GRC","Greece","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"HUN","Hungary","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.2,,
"ISL","Iceland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"IRL","Ireland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"ITA","Italy","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"JPN","Japan","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.4,,
"KOR","Korea","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"LUX","Luxembourg","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.7,,
"MEX","Mexico","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.2,,
"NLD","Netherlands","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"NZL","New Zealand","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"NOR","Norway","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"POL","Poland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"PRT","Portugal","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"SVK","Slovak Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3,,
"ESP","Spain","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"SWE","Sweden","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"CHE","Switzerland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.3,,
"TUR","Turkey","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"GBR","United Kingdom","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.1,,
"USA","United States","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.1,,
"BRA","Brazil","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"CHL","Chile","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"EST","Estonia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.7,,
"ISR","Israel","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"LVA","Latvia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"SVN","Slovenia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"OECD","OECD - Total","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"AUT","Austria","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.9,,
"BEL","Belgium","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.9,,
"CAN","Canada","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.2,,
"CZE","Czech Republic","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.7,,
"DNK","Denmark","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"FIN","Finland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"FRA","France","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"DEU","Germany","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.2,,
"GRC","Greece","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"HUN","Hungary","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.7,,
"ISL","Iceland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"IRL","Ireland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1,,
"ITA","Italy","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.7,,
"JPN","Japan","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.4,,
"KOR","Korea","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.5,,
"LUX","Luxembourg","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"MEX","Mexico","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,25.5,,
"NLD","Netherlands","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"NOR","Norway","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"POL","Poland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,3,,
"PRT","Portugal","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1,,
"SVK","Slovak Republic","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.2,,
"ESP","Spain","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"SWE","Sweden","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"CHE","Switzerland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"TUR","Turkey","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,8,,
"GBR","United Kingdom","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.3,,
